201,164
268,168
230,207
214,253
253,255
162,261
297,272
174,286
278,294
193,305
252,309
222,314
176,142
217,141
252,148
297,162
196,135
276,148
184,138
208,136
263,146
287,154
233,163
183,165
215,168
253,170
286,173
199,170
201,162
195,164
207,166
269,175
270,167
260,169
276,170
190,162
210,163
191,168
208,170
260,168
279,170
260,173
278,174
220,198
245,200
212,211
255,211
221,210
243,212
230,219
202,223
264,228
196,240
269,244
232,234
229,255
220,238
246,239
222,255
240,260
221,243
231,242
243,244
220,247
230,247
242,250
156,188
319,200
157,226
308,237
